y_texts,y_pred_probs,y_pred
united traveling guests mileage plus member using members miles great customer service,[-3.8569279  -0.16373192  4.3228364 ],2
united need get ric tonight ive ewr hrs,[ 5.255075  -2.935672  -2.1162102],0
usairways weeks,[ 4.901975  -1.9375354 -3.049216 ],0
united site errored last step changing award cant even pull reservation minute wait time thanks united,[ 3.458592  -3.1700866 -0.4653152],0
usairways thanks beareavement discount anymore book online,[-3.4851725   3.500222    0.06935114],1
united dang thought teleportation device ua,[ 3.2451565   0.52255887 -3.853569  ],0
jetblue inconvenience understatement like torture clearly going wrong path jetblue,[ 5.5159225 -2.745492  -2.7608197],0
united yea refund airline ruined trip,[ 4.69735   -3.382624  -1.1782262],0
usairways certainly impression shes,[-0.11411702  0.6843714  -0.0381421 ],1
southwestair way amp best friend could get tickets mean everything world us,[-4.690179    0.70512575  4.4960084 ],2
united ntrustopen go,[-2.5869591  4.961745  -2.6243968],1
americanair looks like best hope guess us air dont think ill get miles alaska sucks,[ 5.0171137 -2.7386706 -2.208779 ],0
southwestair want go new orleans houston see dad md anderson help,[-2.9217796  5.475587  -2.7996347],1
usairways thanks giving away seat another fine job,[-1.4312425 -2.7588153  4.8205676],2
jetblue airline trouble winter amp getting good customer service contact negotiate resolutions,[-1.9096706  5.3486753 -3.6020885],1
jetblue thanks,[-3.8900235   0.49031663  3.8758094 ],2
southwestair let one person board early bird save seats entire party,[ 4.8452077 -1.9901549 -2.8956907],0
united get service desk iad,[ 4.6780286 -1.7507921 -2.768168 ],0
jetblue dont need cut services charge give better flying experience thats use jet blue first place,[ 3.2986495  -2.527674   -0.74653745],0
jetblue trying take stuff seat front bugging throughout flight didnt feel safe,[ 5.1684027 -3.242121  -1.9236716],0
southwestair many tickets left,[-1.2471073  4.9010215 -3.7050827],1
virginamerica doesnt look fat looks yummy,[-1.0180446 -1.9304271  3.2599943],2
americanair sister received call trip wednesday flts cancelled flightled resched next day,[ 1.3802437  3.177567  -4.9032655],1
americanair flights cancelled flightled cant get desk nothing showing online reservation,[ 5.504036  -2.7446592 -2.6836107],0
usairways ads phone systems waiting rep annoying thing ever especially waiting mins,[ 5.4301763 -3.0001466 -2.4648378],0
virginamerica understanding helped thx,[-1.9712095 -1.747833   4.194814 ],2
jetblue third straight time flight delayed flying guys last trip,[ 5.0447025 -3.250757  -1.5585071],0
usairways still says cant check flight information incorrect everything entered correctly,[ 5.17907   -2.789086  -2.3201625],0
jetblue ok thank quick response jetblue still best comp,[-2.2817113 -2.5583508  5.452046 ],2
americanair hold times disconnections excuse,[ 5.355784  -3.1466458 -2.327619 ],0
southwestair problem wasnt issued position today gate option upgrade good youre,[ 1.4321828  -1.2247792  -0.04109694],0
americanair simply amazing smiles milesthank u upgrade tomorrow ordwe spending lot time together next weeks,[-2.9976928 -2.3979924  6.155794 ],2
usairways united two broken airplanes two days late flightr im stranded funeral missing last semester 👍,[ 5.444377  -3.0536454 -2.372252 ],0
usairways hope pilot good day,[-1.3662447 -2.2922804  4.314511 ],2
united nope rebook houston could get amarillo pm stuck sfo four hours,[ 5.6019945 -2.8836617 -2.5654585],0
united thanks took care called,[-2.7362099 -1.947203   5.2716455],2
usairways im flight finally air enough food feed customers movie entertainment hr flight,[ 5.022125  -3.0813239 -1.8308357],0
united first lost bags cancelled flight flight home min wait talk somebody,[ 5.406326  -2.980695  -2.3945403],0
usairways thank blowing vacation couldnt get anywhere today make reservation also lost bags mine,[ 3.7305043 -3.3146203 -0.5856401],0
americanair quit nonsense amp lies colossal infringement longer get away,[ 5.3803754 -3.0870552 -2.2579877],0
americanair chances making connection el paso aa dfw sat aa delayed minutes,[ 5.646794  -2.5829527 -2.8153272],0
americanair going reported police due sexual assult sad didnt care,[ 5.551945  -3.0119956 -2.534727 ],0
united minutes waiting gate broken jetway different gate maybe,[ 5.5075803 -2.7131546 -2.67844  ],0
americanair confirmed flight im done thanks nothing,[ 4.8935766 -3.148916  -1.7677494],0
usairways took hours book flights yesterday due system errors americanair paid extra due time lapse,[ 5.62972   -2.6675022 -2.8992455],0
americanair crew best could control get one chance honeymoon amp failed miserably,[ 4.9718857 -2.93478   -1.9798375],0
united id rather spend two days back seat volkswagen two hours plane,[ 5.4615035 -2.7899058 -2.6829922],0
jetblue spent hour phone customer service find cant help need help family pooling asap,[ 5.1867394 -1.8274153 -3.7261899],0
united excuse leaving minor spend night sobbing hours plastic chair uas actions terrible united,[ 5.5449934 -2.9387276 -2.575453 ],0
virginamerica spoke representative offered solution loyal customer flies virginatlantic well,[ 2.066184   -1.9791263   0.12900652],0
united gg cancelled flight tickets thousands people didnt like exchange rate,[ 5.5383244 -2.5876331 -2.848408 ],0
southwestair save mile visit family impact many times see mother planned change rules,[ 0.33646223  1.2721134  -1.8249573 ],1
southwestair looks like running day still cant get phone follow dm info,[ 5.3743205 -2.3196802 -3.0643256],0
americanair online site doesnt flights listed chronological order resulting mispurchase anything done,[ 4.994392  -2.2358856 -2.8879192],0
southwestair thanks cancelled flightation today airline thats cancelled flighted lost customer today,[ 3.9582324  -3.1701744  -0.62446105],0
jetblue ripped suitcase yelled attitude geraldine employee baggage centerworst airline,[ 5.5553784 -3.0074074 -2.4797752],0
united going baggage claim newark,[ 2.289191   1.6861882 -3.8609083],0
americanair bought plane ticket months ago still havent received flight info ticket email come,[ 5.238532  -2.2630975 -2.8686721],0
usairways im sure dont question still remains found crew wont come flt tks,[ 5.3824477 -2.534048  -2.9273193],0
virginamerica thanks,[-3.9650242   0.00826167  4.263532  ],2
americanair refuse customer willing pay upgrade half first class empty,[ 5.5180125 -3.0222776 -2.4574463],0
united rep wouldnt rebook waste time poor communication,[ 5.564756  -2.9555671 -2.6016767],0
united thats weak see ya 👋 hey virginamerica,[ 0.21987125  1.3422953  -1.5674949 ],1
united get tsa finally board ua,[-3.291214    2.7508461   0.78454006],1
usairways us lost ground power three different times grounded endlessly without air lights entertainment,[ 5.4713054 -3.1050432 -2.371414 ],0
jetblue normally ❤️ late flightst flight experience worst hours runway wifi amp tv working properly,[ 5.5113835 -3.0462694 -2.5101755],0
americanair yet im next terminal customer service area,[ 5.366628  -2.7837224 -2.5832183],0
dont see aa united,[ 3.9827588  -0.66508895 -3.4309368 ],0
southwestair flights hrl limited route,[-0.8802287  4.0056033 -3.0569365],1
usairways would consider honoring original fare price try flight booking problems ticket,[ 5.049125  -1.8770055 -2.970178 ],0
americanair britishairways trying speak agent flight london tonight cant get anyone aa help,[ 5.5391865 -2.2667398 -3.1592567],0
southwestair love always get best deals,[-2.0610957 -2.2921615  5.099761 ],2
united shame theres flex tickets transfer rules even calling neurosurgery icu isnt enough,[ 4.7427297 -2.5109158 -2.2781143],0
united many currently operate aircraft operate,[-0.25315076  3.1931007  -3.1538646 ],1
americanair guys totally losing ive aa fan years telling reps busy hanging really bad,[ 5.4664874 -3.1882665 -2.1939113],0
jetblue guys rock,[-3.026474  -2.0733616  5.8349104],2
united trying since file report,[ 5.152115  -2.460211  -2.5509286],0
jetblue thats planned boston traffic due recent weather insane expedited would made,[ 4.219865  -2.7813637 -1.4049629],0
southwestair need request refund flight cancelled flightled morning due weather,[ 3.391857   0.5939737 -4.104671 ],0
jetblue flight orlando,[-1.4511583  3.3022163 -1.7582328],1
jetblue expect delays dca departure going orlando flight,[ 0.7543269  3.7676408 -4.680471 ],1
united received luggage also looked left snow arrived im asking people refunded,[ 5.1612687 -2.656178  -2.6345468],0
usairways waiting luggage flight delay,[ 5.235922  -2.899202  -2.2603261],0
usairways yet see shortly,[-2.5002666  5.2998714 -2.851085 ],1
southwestair yeah figured thanks,[-3.6651194  -0.26457986  4.4164824 ],2
virginamerica would like help flights please,[-1.7579473  4.7837524 -3.253332 ],1
yes filed report atlanta bags charlotte nc hours late flightr still cant find luggage usairways,[ 5.545421  -2.5119824 -2.9245467],0
jetblue maybe stop telling people wrong info customer service calls,[ 5.4269395 -2.385832  -2.9358623],0
virginamerica happened doom,[ 2.5791972  1.4306984 -3.9768078],0
usairways us pilot started flight announcing arrival gatwick heathrow moments concern aboard,[ 0.5072326  0.9417529 -1.41725  ],1
americanair inconvenience disaster phone bill refuse pay,[ 5.4875665 -2.8010862 -2.7442245],0
virginamerica still develop app favorite airline,[-1.0234267 -2.4743373  4.047739 ],2
americanair yep moved showed flying standby,[ 3.505933  -2.9208958 -0.4449111],0
usairways hold minutes need help usair wont help,[ 5.5446386 -2.8179982 -2.734778 ],0
usairways know youre dealing weather phlairport hot mess pls send reinforcements,[ 3.6505563   0.36739603 -4.3717623 ],0
united access frankfurt arrival lounge im flying global first class,[-2.9179838  4.9761024 -1.9222832],1
united alright thank page says routes aircraft specifically,[ 2.4485414 -0.5858775 -2.0338507],0
jetblue waiting half hr packages whats wrong guys,[ 5.517491  -2.7447317 -2.7988555],0
united ord roc fam came see sna im member dad used miles,[-4.445333  4.739244 -0.57372 ],1
americanair flight home cancelled flightled today way get another flight nyc texas hour wait call back airline,[ 4.628118   -0.66399455 -3.9958856 ],0
americanair phone disconnects stay line need checkout hotel hrs amp place go cant keep calling,[ 5.5427423 -2.7682621 -2.6772513],0
united true gate agents caused helpful thanks making miss connection,[-1.5501496 -2.5666153  4.4971995],2
happy sfo hopefully youll add pdx soon “jetblue added two new destinations fll sfo las vegas last year”,[-5.0535417   0.23947962  5.1237226 ],2
united planes waiting gate two hours passengers onboard cramped seats yuck,[ 5.584351  -2.9718268 -2.591757 ],0
southwestair im upset lied told ice runway every carrier able fly airport confirmed ice,[ 5.3996463 -3.063022  -2.250613 ],0
virginamerica must traveler miss flight late flight check bag missed morning appointments lost business,[ 5.5362487 -2.6293433 -2.7937014],0
usairways pilot flight didnt show departure ⌚️ amp theres broken computer next time flying united flight,[ 5.4352527 -3.127861  -2.311186 ],0
united us stranded flying new orleans huston tonight stuck two days rather fly wait,[ 5.3382506 -2.3935359 -2.906048 ],0
united mot getting refund,[ 1.4893025  1.9449213 -3.7016249],1
usairways still hold hr minsthank god chairman status status match delta,[ 5.2840533 -2.7995527 -2.3886151],0
jetblue im honestly would like get going journey,[-3.7503936  4.8054576 -1.0851883],1
usairways hold hours cancelled flighted flight understand delay dont understand autoreflight booking problems tuesday help,[ 5.0345235 -1.8103322 -3.3565152],0
southwestair travel advisory posted den make changes ticket anything need know call,[-0.20466748  3.5872934  -3.6418822 ],1
virginamerica already contacted central baggage amp sent dm renttherunway charging dress lost suitcase,[ 4.7359185 -1.9463099 -2.6867864],0
united missing flight attendant delayed flight prime example person impacts people hnl gt iah ua,[ 5.537451  -2.7991455 -2.7320607],0
united never fly terrible service ruined entire vacation,[ 5.410603  -2.9545715 -2.3909945],0
americanair youre sending gate agent talk us joke airline thanks ruining vacation,[ 5.2226996 -3.2607305 -1.9416283],0
jetblue phone agents cant see flights see online cant change tickets even paying frustrating,[ 5.148509  -2.9343257 -2.1142325],0
united instead bourbon street,[-2.7573988  4.1029344 -1.719818 ],1
usairways tweeted apology enough delay fiasco none insult gate agent worse except mark n bad clt,[ 5.5176816 -3.108288  -2.3073184],0
americanair aa time awesome flight great job american,[-2.3719218 -2.7240536  5.763078 ],2
southwestair glad know ill flying luv airline tomorrow,[-2.5888774 -2.2583842  5.5122476],2
usairways ive done everything still luck finding bag dont understand bag could misplaced upsetting,[ 5.253574  -3.0339758 -2.375457 ],0
southwestair thanks,[-2.8513012   0.90888673  2.2403445 ],2
usairways scheduled flight satmorrow choclt cho needs added weather advisory please evaluate asap,[-1.1178763  4.9162316 -4.108659 ],1
united nice wonder pick respond maybe happy customers easier wonder many left,[ 3.8079221 -1.853659  -2.0447018],0
americanair i’ve line waiting minutes,[ 4.9796596 -2.044436  -2.8994715],0
united sfogtaus ua isjx seat appears mite problem dr recently confirmed bug bites mites,[ 4.728597  -1.3367149 -3.6468441],0
americanair way could look options today,[-2.2646663   2.4422257  -0.13757959],1
jetblue im flying miboston icelandair iceland hours check bags way,[-1.612889   5.41545   -4.1813188],1
“americanair dumasttg good morning tamara well try get comfortably flight soon can”,[-2.6365473  5.602574  -3.0946124],1
southwestair phlairport flight arrives e penguin plane,[-2.5057702  4.879987  -2.3307676],1
southwestair called told bag made phl still delivered call delivery service,[ 5.539706  -3.0659132 -2.4253433],0
usairways plane crew professional courteous gate agents flustered,[ 4.541841  -3.0866406 -1.5723435],0
americanair agent sent family diff planes dfw late flight due delay cancelled flighted plane started,[ 5.363341  -2.3912656 -2.7800238],0
virginamerica tminus minutes elevate silver upgrade window opens 😃👍,[-4.130851    4.259633   -0.17288777],1
jetblue worst postpone trip cant accommodate guests like southwestair,[ 5.5648227 -2.5753188 -2.9408562],0
united engineer designed door frame extend half foot plane seat forced always sit,[ 5.2667537 -2.768829  -2.417659 ],0
southwestair im line airport right cover hotel fair sleep airport,[-0.08716296  1.6897048  -1.152206  ],1
united think guys half full flight held overbooked pm flight fill one cancelled flightled mine,[ 4.297845  -2.5491557 -1.878728 ],0
americanair sacraig helped one bit actually ended driving home due extreme disorganization lack communication,[ 5.6585875 -2.6494284 -3.053383 ],0
americanair add insult injury go pick real class act ill stick delta,[ 5.388481  -2.7829483 -2.4759018],0
“jetblue fleets fleek plz stop,[ 2.1309822  0.7435946 -3.0324233],0
americanair aa employees rude unwilling help miles rotten cherry top dog shit sunday,[ 5.588186  -2.9060652 -2.6704938],0
jetblue absolutely worries im never flying ever even hitch hike cross country,[ 5.030014  -2.390434  -2.5363758],0
jetblue left people hot plane ventilation hour half bus jfk,[ 5.509162  -2.969972  -2.4953868],0
united thanks reply contact customer care get clarification issue,[-2.6174061  0.5031018  2.6636326],2
usairways thank americanair responsive amp found alternate travel home,[-0.9107047 -2.1065056  3.43799  ],2
united adamkarren zj save checked snowboard trying check morning website wants premgold,[ 2.09918    1.7598716 -3.8063755],0
southwestair well mom called earlier guys hold close hour,[ 5.301728  -2.5945985 -2.6138926],0
usairways jfk baggage office open help rebook us cancelled flightled flight dca shameful,[ 5.385676  -2.4430397 -2.894818 ],0
usairways standby far two us snow storm hitting iowa tomorrow could stuck two days,[-0.77350026  3.7652173  -3.0404577 ],1
jetblue middle seats sfo gt bos fun keeps getting credits would much rather working tv,[ 4.9052215 -2.8077362 -2.141255 ],0
united caught earlier flight ord gate checked bag youve lost ohare original flight lands minutes,[ 5.524218  -2.6989815 -2.764003 ],0
americanair always love opening upgrade email,[-2.1676126 -2.0639274  5.0572534],2
southwestair cancelled flighting flights minutes takeoff amp sitting min runway rescheduled flight,[ 5.46903   -2.8204753 -2.5735466],0
virginamerica congrats got business ewr sfolax fuck united fl sfoewr clincher,[ 4.1565175 -2.5042803 -1.537341 ],0
usairways denied mom flight needed breast pumping parts full flight please fix asap,[ 5.3399124 -2.7306116 -2.6645002],0
jetblue ready go disneyworld rundisney,[-4.3998895   4.093296    0.18105936],1
americanair break whatever want take responsibilitytoo bad customer chicagotribune wsj cnn,[ 5.4372745 -2.6912954 -2.6488125],0
jetblue free wifi board best thing thats happened since sliced bread,[-1.7545987 -2.49513    4.919092 ],2
virginamerica hours operation club sfo posted online current,[ 3.2461903   0.97110087 -4.088081  ],0
southwestair hold min far trying book seat infant price increased meantime,[ 5.3318524 -2.5468967 -2.6452417],0
united signed notifications first trip updated sure happened,[ 4.1914024  -0.40130478 -4.048053  ],0
jetblue love always,[-2.87093   -2.1957002  5.878694 ],2
virginamerica seat c cannot even open laptop paid extra seat,[ 5.544751  -2.856249  -2.6764863],0
americanairif miss saying goodbye friend cause crappy service swear never hear end,[ 5.4832673 -2.9657252 -2.433873 ],0
united appreciate changing time min multiple times hours flight annoying seems like clue,[ 5.438867  -3.1761458 -2.244577 ],0
didnt need rt jetblue fleets fleek,[-0.5311113  0.7219356  0.1385299],1
usairways get home syracuse cancelled flightled flights one routing three us sitting charlotte,[ 0.56957996  3.1114962  -3.4970067 ],1
jetblue yup said would flight change fee plane minutes apparently,[ 5.588927  -2.673802  -2.7328818],0
usairways florida flights service sucks,[ 5.2384    -3.2613654 -1.9770554],0
americanair issuing weather advisory rdu entire state nc shut overnight winter storm,[-2.7264538  5.590877  -3.026779 ],1
americanair nice know paid seat sold seat bought rd seat good scam scam,[ 5.296867  -2.8266141 -2.4906974],0
united pointless tweet least americanair asked follow try resolve,[ 5.340894  -2.1647713 -2.9408982],0
americanair sna curfew causes diversion provide transportation lax aa pilot sure time,[ 5.120753  -2.7436244 -2.5013678],0
usairways seriously keep trying seven hours corporate policy,[ 5.567329  -2.9028788 -2.5928996],0
united flight thanks reply,[-4.066162    0.00465037  4.4781404 ],2
united appreciate early arrival ua chance ord ever bring bags,[ 4.505464  -3.1701114 -1.4492767],0
united thats told refund doesnt really makeup inconvenience caused missed meeting,[ 5.4645863 -3.1660478 -2.285497 ],0
jetblue appreciate speedy response longer delay inconvenience put customers please nix change fee,[ 4.2713094 -3.1105309 -1.2073883],0
americanair thanks,[-2.5197365   0.19401933  2.6746986 ],2
southwestair possible carryon put closetoverhead success airlines thanks,[-3.2690983  4.1193233 -1.0832384],1
united flight worse last flight attendants dont even know whether plane equipped power outlets seats,[ 5.5785537 -3.0321472 -2.5512536],0
usairways minutes hold far still havent spoke human never using,[ 5.5890326 -2.979905  -2.577288 ],0
americanair amen,[-4.113236   1.159609   3.0755172],2
southwestair considered adding well call back someone free feature support line,[ 4.204399  -1.9239438 -2.3189752],0
usairways saving grace flight attendant dallas amazing wish would transfer delta would see,[-3.0573306 -2.0053983  5.700566 ],2
jetblue rt wmcactionnews new airline expected make way mem,[-2.2031453  5.618689  -3.6393318],1
jetblue believe website said could receive credit upcoming flights since cancelled flighted last one true,[ 3.5174472 -1.34045   -2.218482 ],0
americanair flight dfw lit way pdx tomorrow cancelled flighted help,[ 2.1914558  1.005671  -3.5416906],0
usairways awesome usair tysvm lt,[-2.5661902 -2.4494834  5.8200736],2
united maybe person working customer service desk houston airport line rows deep person working,[ 4.889964  -1.5853094 -3.335986 ],0
southwestair amazing cs today sw thank much reason fly,[-3.0671349 -2.2174253  6.0577726],2
united flight ua sitting tarmac mins report whyany input,[ 5.6765037 -2.4200199 -3.2062004],0
americanair great flight experience sfojfk dare say consistent high quality legacy airline keep guys,[-0.69638246 -2.4516277   3.3712506 ],2
southwestair paid inflight wifi work download speed mbps amp ended watching free tv instead,[ 4.3446774 -1.8548594 -2.395931 ],0
jetblue delayed flight,[ 2.9719222  -0.60096705 -2.3540926 ],0
usairways dealing w fam emergency told rebooked aa flight ord system need help asap,[ 5.0034394 -1.9996649 -3.3728178],0
united kudos capt herman relayed chief pilot emailing someone,[-1.8089174 -1.9612137  4.1763854],2
united one great airline ❤️,[-2.268308  -2.7691448  5.6965413],2
united luggage set go dca however rerouted dulles currently nolo however bags houston fix,[ 3.800893  -1.4064587 -2.4769695],0
united thanks im booked spent extra hrs ten w explanation flying middle seat char instead memphis,[ 3.722071  -3.262667  -0.4021689],0
americanair great thanks followed,[-2.915424  -1.4677993  5.0782475],2
united ethiopia adopting child need flight home add grr late flight early need change existing reservation,[-1.792874  5.531066 -4.08539 ],1
americanair unamerican airlines lies poor customer services,[ 5.409922  -2.6272655 -2.830736 ],0
southwestair let us plane bc toilets done even work goes family vacay playa del carmen mexico,[ 4.9792333 -2.6570964 -2.308252 ],0
americanair understand flight day going twice im extra meds diapers baby,[ 5.078058  -2.1747203 -2.8170545],0
united amsterdam ewr,[-1.518771   4.511087  -3.1832683],1
usairways know suicide second leading cause death among teens,[-1.4291201  5.149919  -4.1195374],1
americanair use aa credit platinum select world mastercard alaska flights american,[-2.9994764  5.6330934 -2.7724566],1
united lack customer service astounds worst airline history airlines train staff,[ 5.5664144 -2.9265032 -2.6579926],0
southwestair employees spreading bit cheer morning atlanta,[-4.841656   1.7427425  3.4662874],2
southwestairs ceo kelly draws record crowd bwiairport business partnership breakfast,[-3.342779   5.2802444 -2.2408037],1
americanair thats number called wouldnt let speak agent issues weather today,[ 4.4548793 -1.4375112 -2.91117  ],0
southwestair lost bag flight vegas el paso going dallas love gate attendant said see coordinate get love,[-0.22071382 -2.8203738   3.5883756 ],2
thanks “usairways fispahani weather disruptions caused crew run late flight sorry delay flight”,[-0.39113393 -2.3474417   2.9809968 ],2
jetblue lol fleet fleek see yall ballin new jets deck,[-4.340405    4.4768605  -0.08130636],1
americanair theres employee gate jfk telling people bag doesnt fit needs checked clearly fits,[ 5.331117 -3.031    -2.313536],0
southwestair pls help get resolved amp reimbursement made gracias rico pls send private msg phone number email address,[-0.32699358  4.4118385  -4.1693835 ],1
southwestair thx note flight cancelled flightled today booked go another carrier,[ 1.9784473  -0.97519726 -0.628469  ],0
united denied upgrade catering issues,[ 5.386582  -2.9304163 -2.2455585],0
southwestair make us tru find space flights customer service bad spiritairlines,[ 4.86911   -2.3037274 -2.5998516],0
usairways americanair best u could doi might get refund within billing cycles months u guys asking another chance im done,[ 5.1564   -2.473993 -2.676078],0
usairways tried reaching guys im running time patience want flight honor want confirmation,[ 5.4697576 -2.8675983 -2.3585875],0
united hours gates planes late flightr still update explanation apology,[ 5.383585  -2.809033  -2.5735178],0
united got gate thanks checking,[-3.2294495 -1.6102089  5.334939 ],2
united time rantyou delayed flight still forgot luggagethen delayed tarmac moments love united,[ 4.845458  -3.3208148 -1.6171293],0
americanair abcs pr let customers info possible might want go brush basics,[ 5.425123  -2.8261406 -2.5679102],0
jetblue thanks much cant wait fly guys,[-3.0750687 -2.2694466  6.1567025],2
jetblue best airline wifi ever thank,[-2.5822732 -2.4931707  5.77591  ],2
southwestair great flight phoenix dallas tonightgreat service time makes timieyancey happy,[-3.05425   -2.367918   6.1639953],2
americanair suppose fl hours ago im ive waiting hours ridiculous,[ 5.252563  -2.8089607 -2.3662455],0
united crossed prior times carriers issue karen rude untrained unhelpful also spoke,[ 5.540779  -2.9664414 -2.5635734],0
americanair thank much appreciated plane min gate,[-1.2906145 -2.6296654  4.500531 ],2
americanair retrain customer service first make proper adjustments cancelled flightling flights mistakes,[ 4.9302535 -2.819606  -2.1477838],0
jetblue tsapre work every airline pay good money spent mins phone fix zero success,[ 5.394752  -3.1361074 -2.2879574],0
virginamerica new go airline,[-3.0293262 -1.486878   5.32912  ],2
united morning delayed hours get newark meeting,[ 5.53097   -2.364042  -2.8432863],0
usairways mad love nyc,[-2.1904907 -2.7539442  5.835893 ],2
united thank compensating us lost bags fly,[ 1.0433621 -2.3670554  1.4327348],2
usairways told return call human,[ 5.2588677 -2.8906348 -2.2176511],0
southwestair easy fix let business select actually board st board preboards,[ 4.5990443 -2.1022086 -2.3455079],0
united patient luxurious middle seat next delayed flight,[ 4.400814  -1.4310015 -3.194955 ],0
united unsmiling rep told us hotel shuttle comes like every minutes breezy min late flightr taking cab going reimburse,[ 5.533125  -2.7351391 -2.7040823],0
southwestair check see flight nyc expected delayed cancelled flightled tuesday,[-1.8344992  5.2649283 -3.7458282],1
usairways hii travel question could please follow dm,[-2.232702   5.3883824 -3.2678814],1
americanair trying speak agent whole day cancelled flightled flight,[ 5.484384  -2.6487792 -2.6710608],0
southwestair get flight denver ill happy,[-2.5437863   0.49297863  3.216171  ],2
usairways travelling pwm atl sunday flight got cancelled flightled new flight cancelled flightled got disconnected reflight booking problems,[ 4.876245 -1.960163 -2.855334],0
southwestair love imagine dragons flipping much pls,[-3.6224911   0.19394124  4.2264533 ],2
usairways fam thats supposed fly currently hosp trys speak human yr phone sys cuts pls hlp,[ 5.5511785 -2.855364  -2.7654355],0
jetblue want deal customer service agents practical knowledgeprovide direct contact,[ 3.4609392  -0.04771904 -3.705515  ],0
americanair pictures taken time right,[-1.0870486  2.1226146 -1.0122329],1
virginamerica check new music,[-3.1922417  5.243324  -2.0536401],1
usairways need help air clt phl conf dmqf need confirmed bna bumped day need home,[ 5.534243  -2.4600375 -2.9837823],0
united heads didnt check bags checked arrived arent claim peoples bags,[ 5.3662996 -3.0815504 -2.2968957],0
united asked boyfriend prom loudspeaker flight said yes best day ever thank u much,[-2.9257371 -2.4693234  6.1246657],2
usairways redeem pass admirals club free visit barclay card membership bring companion,[-3.6626184  5.3825808 -1.7627182],1
southwestair lovedragonss lol im sorry im seeing lauren oh god ahhhh,[-1.3246237   1.456169    0.34445098],1
southwestair thank u thank u thank u coming us sincerely didnt think would happen lt,[-2.9770586 -1.5034024  5.025884 ],2
americanair two non revs right,[ 2.3201962  0.5369711 -2.959254 ],0
usairways delayed depart bc ur flight attendant wasnt landing took hrs get gate another bags,[ 5.5458274 -3.0008998 -2.470507 ],0
united need follow dm give info,[ 0.3895828  4.0894485 -4.997626 ],1
southwestair pair tickets imaginedragons show atlanta id love go,[-4.8087792  3.0678165  1.7946752],1
united get account number website says email unavailable,[ 5.0562787 -1.8657565 -3.251647 ],0
united thanks link finally arrived brussels h schedule,[-2.9625423 -1.4311074  5.0035863],2
jetblue ever consider coming memphis need trueblue service fares badly,[ 2.9064715  0.603897  -3.9922917],0
united appreciated case waited extra minutes lost mechanic fax log faxlike,[ 5.4175835 -2.8736732 -2.5232503],0
usairways landed safely everything worked,[-1.90571   -2.5196571  5.1565895],2
jetblue hope plane appear leaving nearby terminal gate,[ 0.31929097  2.523725   -2.646033  ],1
united airlines comcast xfinity cableinternet,[-0.58952975  3.5841272  -3.0286958 ],1
usairways updates flight philly la sitting gate close hours,[ 5.471606  -1.7991568 -3.6721056],0
southwestair bad enough seat assigned hes seating exit seat male flight attendant removes,[ 4.125315  -1.4127265 -2.5849175],0
americanair refund,[-1.2137961  4.032433  -3.0237048],1
southwestair bad weather multiple cancelled flighted flights us scared noted next time,[ 4.650999  -2.621507  -1.8606032],0
united uhuhgroup trying get nashville iad today instead tomorrowwhy preemptive though,[ 3.7896326 -0.5011656 -3.629464 ],0
southwestair sureill send message,[-1.4452907  4.9622207 -3.7806735],1
jetblue offering special fares gopuregrenada discovergrenada caribbejan islandexpert,[-1.6477275  3.6668968 -2.1508443],1
usairways despicable flight plan lost weve sitting tarmac hour min flight,[ 5.5489306 -2.9021955 -2.7153475],0
southwestair think group could use nice cold drinks get airwe 😜😎,[-3.3683522   2.9670982   0.39928287],1
united think best first class ever gotten denver lax wonderful,[-2.3752658 -2.4080918  5.4678807],2
americanair connect person without wait hours hold still havent able resolve problem,[ 5.5960007 -2.6263125 -2.8963878],0
usairways obj even airlines scheming get follow obj lmaooo 😂😂😂😂,[ 0.86610246  1.664025   -2.3539255 ],1
virginamerica well didnt…but,[ 1.9495226  0.7231929 -2.6122434],0
usairways never mind could told gate way could delay mins,[ 5.548471  -2.923618  -2.5788033],0
americanair thank acknowledgement ife didnt work well anyway maybe time upgrade lower profile system,[-2.2077572 -1.2068217  3.7332993],2
americanair cancelled flightled cant get two days explanation,[ 5.561722  -2.8036363 -2.738816 ],0
united great hear thankyou much greatly appreciate replies feel much settled,[-2.7151072 -2.4080217  5.703989 ],2
united thanks kp please also mention quiche breakfast tandoori chicken dinner entrees accompaniments truly first class,[-3.8007233 -1.3393098  5.5570273],2
united really need better system handling cancelled flightled flights,[ 5.353372  -2.920642  -2.4235423],0
united flight already cancelled flightled morning snow storm denver im dc waiting pilot get,[ 5.1896434 -2.7768586 -2.3581975],0
united denied sure charge one way way hime,[ 4.062287  -1.1206437 -2.5268664],0
americanair isnt sheer incompetence reigning dfw today plane gd runway doubt,[ 5.55402  -2.941892 -2.581108],0
americanair robocalls another cancelled flightation don’t accept change won’t let connect agent wow,[ 4.969499  -2.3749008 -2.6900153],0
“jetblue analystdoc unfortunately thats available option current system sorry guys thats certain fix plz,[ 2.7558892  0.876831  -3.7872741],0
united thanks trying take money without notice industry cancelled flight service refund issued cont…,[ 4.896113  -2.5615594 -2.4477553],0
jetblue well lucky fly jbi guess would even squished airline 😞,[ 1.817846  -0.5954279 -1.2807332],0
southwestair helped nice lady phx checkin spent hours hold hours might want look efficiency,[ 3.4139059 -2.811487  -0.7264551],0
